_id,address,date_of_birth,full_name,gender,mobile,nric
61a0d21da3b5e8ecfe7b6d28,Blk 147 Tampines Avenue 5 #11-88 Singapore 521147,1970-01-01T00:00:00.000Z,Zhou Jie Yi ,Female,91237777,T0298875A
61a0d21da3b5e8ecfe7b6d29,Blk 150 Bishan Street 11 #14-88 Singapore 570150,2001-12-09T16:00:00.000Z,Fang Tong,Female,98765453,T0198876Z
61a0d21da3b5e8ecfe7b6d2a,Blk 147 Simei Street 2 #12-65 Singapore 520147,2001-09-07T16:00:00.000Z,Isawaran Bai,Female,98766789,T0187765Z
61a0d21da3b5e8ecfe7b6d2b,Blk 319 North Vista Road #12-88 Singapore 541233,1999-02-10T16:00:00.000Z,Tiffany Lee,Female,91234567,S9945788Z
61a0d21da3b5e8ecfe7b6d2c,"Blk 26, Anson Road, #15-14 Singapore 988712�",1999-03-11T16:00:00.000Z,Rosy Lim Li Qin,Female,98733333,S9966756Z
61a0d21da3b5e8ecfe7b6d2d,Blk 789 Woodlands Road #02-14  Singapore 677899,1998-04-03T16:00:00.000Z,Heather Ong ,Female,91231232,S9878776I
61a0d21da3b5e8ecfe7b6d2e,74 Ayer Rajah Crescent #03-09 Singapore 098822,1998-02-01T16:00:00.000Z,Elina Goh,Female,98765432,S9877665I
61a0d21da3b5e8ecfe7b6d2f,Blk 35 Mandalay Road  # 13-37 Mandalay Towers,1998-08-07T16:00:00.000Z,Song Xue Min,Female,98789087,S9812346I
61a0d21da3b5e8ecfe7b6d30,Blk 35 Bishan Road  # 13-37 Singapore 121212,1998-09-08T16:00:00.000Z,Felicia Teo Si Yi,Female,96542678,S9877778I
61a0d21da3b5e8ecfe7b6d31,Ang Mo Kio Ave 10 Blk 467 #09-998 Singapore 129887,1997-12-11T16:00:00.000Z,Pang Jia Hui,Female,96755590,S9766546J
61a0d21da3b5e8ecfe7b6d32,277 Orchard Road Singapore�9,1997-08-06T16:00:00.000Z,Michael Athony Goh,Male,98775900,S9765444J
61a0d21da3b5e8ecfe7b6d33,Blk 35 Mandalay Road  # 13-37 Mandalay Towers,1997-11-01T16:00:00.000Z,Benny Wong Chu Han,Male,87655345,S9723410J
61a0d21da3b5e8ecfe7b6d34,Blk 123 Punggol Road #14-76 Singapore 128892,1996-09-09T16:00:00.000Z,Tan He Jun,Male,87665123,S9655432K
61a0d21da3b5e8ecfe7b6d35,Blk 117 Ang Mo Kio Ave 10 #07-99 Singapore 123445,1996-04-04T16:00:00.000Z,Lewis Lew Jun Hao,Male,86554356,S9653542K
61a0d21da3b5e8ecfe7b6d36,53 Ang Mo Kio Avenue 3 Singapore 569933,1995-03-02T16:00:00.000Z,Samuel Tan ,Male,98765341,S9544332K
61a0d21da3b5e8ecfe7b6d37,Blk�145�Lorong 2 Toa Payoh Singapore 310145,1970-01-01T00:00:00.000Z,Gary Yik Zi Xin,Male,98883434,S6512222K
61a0d21da3b5e8ecfe7b6d38,Blk 150A Bishan Street 11 Singapore 571150,1970-01-01T00:00:00.000Z,Henry Lee,Male,91665522,S6544444E
61a0d21da3b5e8ecfe7b6d39,53 Ang Mo Kio Avenue 3  #11-90 Singapore 569933,1965-01-11T16:30:00.000Z,Goh Jun Wei,Male,98708653,S6500214E
61a0d21da3b5e8ecfe7b6d3a,10 Eunos Road 8 #05-33 Singapore 123322 ,1965-05-04T16:30:00.000Z,Jordan Leong Jia Lun,Male,98766523,S6512332E
61a0d21da3b5e8ecfe7b6d3b,79 Jalan Wehner Hill Singapore 850765,1996-09-13T16:00:00.000Z,Yeh Jia Ling,Female,97718962,S9619032C
61a0d21da3b5e8ecfe7b6d3c,335 Jacobi Link Avenue Singapore 669098,1988-10-27T16:00:00.000Z,Chua Zheng Xun,Male,94926481,S9987152J
61a0d21da3b5e8ecfe7b6d3d,"Blk 174 Tampines Street 39, #15-19",2001-03-12T16:00:00.000Z,Fan Kok Soon,Male,91151370,S0515048D
61a0d21da3b5e8ecfe7b6d3e,"Blk 160 Bedok Street 12, #06-08",1983-07-18T16:00:00.000Z,Pun Hui Qi,Female,98184327,S1006532L
61a0d21da3b5e8ecfe7b6d3f,"Blk 430 Marine Parade Street 12, #03-14",1992-04-28T16:00:00.000Z,Yang Kok Meng,Male,97145059,S2856297J
61a0d21da3b5e8ecfe7b6d40,"Blk 367 Jurong West Street 32, #07-25",1979-07-25T16:30:00.000Z,Shen Shu Hui,Female,94892455,S3754771P
61a0d21da3b5e8ecfe7b6d41,"50 Marsiling Avenue, #08-14",1978-07-14T16:30:00.000Z,Loh Jia Yi,Male,95182779,S1771806H
61a0d21da3b5e8ecfe7b6d42,"Blk 47 Lorong 5 Bukit Ho Swee, #06-03",1998-09-08T16:00:00.000Z,Tin Kai Wen,Male,87450702,S2233415X
61a0d21da3b5e8ecfe7b6d43,"Blk 263 Lorong 6 Bedok, #10-05",1998-06-24T16:00:00.000Z,Qian En Hui,Female,92467107,S2951098R
61a0d21da3b5e8ecfe7b6d44,"Blk 290 Sengkang Street 78, #07-21",2000-02-07T16:00:00.000Z,Zeng Min Hui,Male,98237465,S6295546L
61a0d21da3b5e8ecfe7b6d45,40 Jalan Koch Place Singapore 252383,1997-07-30T16:00:00.000Z,Huang Jun Kai ,Male,98726518,S9789268G
61a0d21da3b5e8ecfe7b6d46,"28 Mt Elizabeth #028-09, 228510, Singapore",1997-03-23T16:00:00.000Z,Ho Jia Yi,Male,92656955,S0607865F
61a0d21da3b5e8ecfe7b6d47,"	477 Changi Rd, 419881, Singapore",1967-08-22T16:30:00.000Z,Du Xin Ling,Male,92894989,S7722395I
61a0d21da3b5e8ecfe7b6d48,"418 Orchard Road, 238876, Singapore",1993-09-19T16:00:00.000Z,Fung Yong Hui,Female,92222284,S1421253A
61a0d21da3b5e8ecfe7b6d49,"339A KING GEORGE'S AVENUE 02-00, 208565, Singapore",1951-11-26T16:30:00.000Z,Wu Hao Qiang,Male,84444255,S8603419J
61a0d21da3b5e8ecfe7b6d4a,"11 Marine Parade Central #04-07A Parkway Centre, 449408, Singapore",1993-09-07T16:00:00.000Z,Tin Yi Min,Female,85852516,S4143474J
